VARIABLES = TIME,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
  0.12290D+01 -0.45809D-01  0.22710D-01  0.22710D-01  0.84693D-19 -0.41665D-18  0.20320D-18 -0.11641D+01 -0.52766D-15 -0.52766D-15  0.71942D-18 -0.35392D-17  0.17260D-17
  0.12790D+01 -0.55809D-01  0.27706D-01  0.27706D-01 -0.29240D-17  0.27092D-18 -0.36240D-18 -0.11873D+01 -0.18679D-11 -0.18679D-11 -0.20785D-16  0.19258D-17 -0.25761D-17
  0.13290D+01 -0.65809D-01  0.32703D-01  0.32703D-01 -0.58632D-18 -0.30149D-18  0.34554D-18 -0.12071D+01 -0.63612D-12 -0.63606D-12 -0.35922D-17 -0.18471D-17  0.21170D-17
  0.13790D+01 -0.75809D-01  0.37700D-01  0.37700D-01 -0.87766D-18  0.12842D-17 -0.17958D-17 -0.12243D+01 -0.25629D-12 -0.25629D-12 -0.47332D-17  0.69257D-17 -0.96848D-17
  0.14290D+01 -0.85809D-01  0.42698D-01  0.42698D-01 -0.31373D-17 -0.82685D-18  0.23854D-17 -0.12396D+01 -0.11693D-12 -0.11695D-12 -0.15132D-16 -0.39880D-17  0.11505D-16
  0.14790D+01 -0.95809D-01  0.47695D-01  0.47695D-01  0.75998D-17  0.28116D-18 -0.54887D-17 -0.12534D+01 -0.64881D-13 -0.64896D-13  0.33188D-16  0.12278D-17 -0.23969D-16
  0.15290D+01 -0.94191D-01  0.46887D-01  0.46887D-01 -0.70346D-17 -0.36580D-19 -0.40808D-17 -0.12512D+01 -0.17683D-13 -0.17683D-13 -0.31195D-16 -0.16221D-18 -0.18097D-16
  0.15790D+01 -0.84191D-01  0.41889D-01  0.41889D-01  0.35641D-17  0.20009D-18  0.28154D-17 -0.12372D+01 -0.91567D-14 -0.91908D-14  0.17488D-16  0.98173D-18  0.13814D-16
  0.16290D+01 -0.74191D-01  0.36892D-01  0.36892D-01  0.96492D-17  0.51512D-18  0.30458D-17 -0.12217D+01 -0.10884D-12 -0.10888D-12  0.53060D-16  0.28326D-17  0.16749D-16
  0.16790D+01 -0.64191D-01  0.31895D-01  0.31895D-01 -0.37064D-17 -0.36255D-18 -0.23276D-17 -0.12041D+01 -0.21899D-12 -0.21897D-12 -0.23223D-16 -0.22716D-17 -0.14584D-16
  0.17290D+01 -0.54191D-01  0.26898D-01  0.26898D-01  0.19347D-17 -0.62702D-18 -0.10535D-17 -0.11838D+01 -0.53664D-12 -0.53664D-12  0.14123D-16 -0.45769D-17 -0.76899D-17
  0.17790D+01 -0.44191D-01  0.21902D-01  0.21902D-01 -0.48076D-17  0.64038D-18  0.90122D-18 -0.11599D+01 -0.15160D-11 -0.15160D-11 -0.42184D-16  0.56189D-17  0.79077D-17
  0.18290D+01 -0.34191D-01  0.16907D-01  0.16907D-01 -0.26156D-17 -0.25750D-18  0.11994D-17 -0.11304D+01 -0.54588D-11 -0.54588D-11 -0.28931D-16 -0.28483D-17  0.13267D-16
  0.18790D+01 -0.24191D-01  0.11914D-01  0.11914D-01  0.14161D-17  0.34233D-18 -0.18648D-18 -0.10918D+01 -0.29049D-10 -0.29049D-10  0.21412D-16  0.51761D-17 -0.28196D-17
  0.19290D+01 -0.14191D-01  0.69232D-02  0.69232D-02 -0.21244D-17  0.67792D-19  0.11350D-17 -0.10348D+01 -0.32897D-09 -0.32897D-09 -0.52057D-16  0.16612D-17  0.27812D-16
  0.19790D+01 -0.41913D-02  0.19692D-02  0.19692D-02 -0.61328D-18 -0.43034D-18 -0.10159D-18 -0.75857D+00 -0.11822D-14 -0.11288D-14 -0.37758D-16 -0.26495D-16 -0.62548D-17
  0.20290D+01  0.58087D-02 -0.27600D-02 -0.27600D-02 -0.58103D-18  0.15421D-18 -0.51674D-18  0.86636D+00  0.59020D-12  0.59019D-12 -0.29374D-16  0.77960D-17 -0.26123D-16
  0.20790D+01  0.15809D-01 -0.77300D-02 -0.77300D-02 -0.64355D-19 -0.27082D-19 -0.57262D-18  0.10461D+01  0.96998D-15  0.94107D-15 -0.14300D-17 -0.60178D-18 -0.12724D-16
  0.21290D+01  0.25809D-01 -0.12721D-01 -0.12721D-01  0.27107D-18  0.83355D-18 -0.44731D-18  0.10989D+01  0.49691D-08  0.49691D-08  0.38657D-17  0.11887D-16 -0.63789D-17
  0.21790D+01  0.35809D-01 -0.17715D-01 -0.17715D-01  0.10125D-19  0.10496D-18  0.12164D-17  0.11357D+01  0.42924D-10  0.42924D-10  0.10741D-18  0.11135D-17  0.12905D-16
  0.22290D+01  0.45809D-01 -0.22710D-01 -0.22710D-01  0.39981D-17 -0.35247D-18 -0.60975D-18  0.11641D+01  0.71549D-11  0.71549D-11  0.33961D-16 -0.29940D-17 -0.51795D-17
  0.22790D+01  0.55809D-01 -0.27706D-01 -0.27706D-01  0.33915D-17 -0.34841D-20  0.12503D-17  0.11873D+01  0.18688D-11  0.18688D-11  0.24108D-16 -0.24766D-19  0.88878D-17
  0.23290D+01  0.65809D-01 -0.32703D-01 -0.32703D-01  0.11013D-17 -0.38268D-18  0.45722D-18  0.12071D+01  0.63787D-12  0.63783D-12  0.67473D-17 -0.23445D-17  0.28012D-17
  0.23790D+01  0.75809D-01 -0.37700D-01 -0.37700D-01 -0.39844D-17  0.96206D-18 -0.11503D-18  0.12243D+01  0.26154D-12  0.26156D-12 -0.21488D-16  0.51884D-17 -0.62037D-18
  0.24290D+01  0.85809D-01 -0.42698D-01 -0.42698D-01  0.22361D-17  0.25064D-18 -0.12840D-17  0.12396D+01  0.11536D-12  0.11533D-12  0.10785D-16  0.12089D-17 -0.61930D-17
